PV;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;st_dev
alla jääma;1;2;2;2;2;3;4;4;4;4;;;;;;;;;;;1,14
alla käima;1;1;2;2;2;2;2;4;4;5;5;5;;;;;;;;;1,56
alla laadima;1;1;1;3;3;3;4;4;5;5;;;;;;;;;;;1,56
alla tingima;3;3;3;4;4;4;5;5;5;5;;;;;;;;;;;0,88
edasi jõudma;2;3;3;3;3;3;4;4;4;4;;;;;;;;;;;0,67
edasi müüma;2;3;4;4;4;4;4;4;5;5;5;5;5;;;;;;;;0,9
eemale tõukama;3;3;5;5;5;5;5;5;5;5;5;5;;;;;;;;;0,78
esile tükkima;1;3;3;3;4;4;4;4;4;5;;;;;;;;;;;1,08
ette andma;2;3;4;4;4;4;4;4;5;5;;;;;;;;;;;0,88
ette hei teatma;1;1;1;1;1;2;3;4;5;5;5;5;;;;;;;;;1,85
ette jõudma;4;4;4;4;5;5;5;5;5;5;5;;;;;;;;;;0,5
ette kandma;2;2;2;2;3;3;3;3;3;3;4;4;5;5;5;;;;;;1,1
ette kavatsema;1;3;3;3;3;3;4;4;4;5;5;5;5;;;;;;;;1,18
ette kujutama;1;2;3;3;3;3;4;4;4;4;4;;;;;;;;;;0,98
ette käima;2;2;2;3;3;3;4;4;4;5;5;;;;;;;;;;1,12
ette küsima;1;1;2;2;3;4;4;4;4;4;5;5;;;;;;;;;1,42
ette lugema;1;3;3;3;3;3;4;4;4;4;4;5;5;5;;;;;;;1,08
ette maksma;3;4;4;4;4;4;4;4;5;5;5;5;5;;;;;;;;0,63
ette nägema;1;1;3;3;4;4;4;4;5;5;5;;;;;;;;;;1,44
ette sattuma;2;3;3;4;4;5;5;5;5;5;;;;;;;;;;;1,1
ette vaatama;1;1;2;2;3;3;3;4;4;4;;;;;;;;;;;1,16
ette valmistama;2;2;4;4;4;4;4;5;5;5;;;;;;;;;;;1,1
ette valmistuma;2;2;2;4;4;4;4;4;4;4;5;5;;;;;;;;;1,07
ette võtma;1;1;1;2;3;3;3;3;5;5;5;;;;;;;;;;1,58
juurde tulema;2;3;3;4;4;4;5;5;5;5;5;5;5;5;;;;;;;0,99
juurde tõmbama;1;2;2;2;3;3;3;4;4;4;4;5;5;5;5;;;;;;1,3
järele kihutama;4;4;4;4;4;5;5;5;5;5;5;;;;;;;;;;0,52
järele vahtima;3;3;4;4;5;5;5;5;5;5;5;;;;;;;;;;0,82
kaasa sündima;1;2;2;4;4;4;4;5;5;5;;;;;;;;;;;1,43
kaasa tooma;1;2;4;4;4;4;4;4;5;5;5;5;5;5;;;;;;;1,21
kaasa tõmbama;1;2;2;2;2;2;3;3;3;3;3;4;4;4;4;4;4;4;5;5;1,11
kinni käima;2;2;2;2;3;3;4;4;5;5;5;5;5;5;5;;;;;;1,32
kinni maksma;1;1;1;1;2;2;2;2;3;3;3;3;4;4;;;;;;;1,07
kinni minema;1;2;2;2;3;3;3;3;4;4;4;;;;;;;;;;0,98
kinni pidama;3;3;3;4;4;4;4;5;5;5;5;5;;;;;;;;;0,83
kinni traageldama;1;4;4;5;5;5;5;5;5;5;5;5;;;;;;;;;1,17
kokku kiskuma;2;3;4;4;5;5;5;5;5;5;;;;;;;;;;;1,06
kokku koguma;2;3;3;4;4;5;5;5;5;5;;;;;;;;;;;1,1
kokku kuhjama;4;4;4;4;4;4;5;5;5;5;;;;;;;;;;;0,52
kokku leppima;1;2;2;2;3;3;3;3;4;5;;;;;;;;;;;1,14
kokku monteerima;2;2;3;3;5;5;5;5;5;5;5;5;;;;;;;;;1,27
kokku sättima;2;3;4;4;5;5;5;5;5;5;;;;;;;;;;;1,06
kokku taguma;2;2;3;3;3;4;4;4;5;5;5;5;;;;;;;;;1,14
kokku valguma;2;3;3;3;4;4;5;5;5;5;;;;;;;;;;;1,1
külge jääma;2;3;4;4;4;4;4;5;5;5;5;;;;;;;;;;0,94
lahti pääsema;1;1;3;3;4;4;5;5;5;5;;;;;;;;;;;1,58
lahti siduma;1;1;2;3;3;4;4;4;5;5;5;5;;;;;;;;;1,51
lahti voltima;3;4;4;4;4;4;5;5;5;5;;;;;;;;;;;0,67
ligi pääsema;2;3;3;3;4;5;5;5;5;5;;;;;;;;;;;1,15
läbi kaaluma;1;1;1;2;2;2;4;4;5;5;;;;;;;;;;;1,64
läbi kobama;1;3;3;4;4;4;4;4;5;5;5;;;;;;;;;;1,17
läbi kuluma;2;3;3;4;4;4;4;4;5;5;;;;;;;;;;;0,92
läbi laskma;1;2;3;4;4;5;5;5;5;5;;;;;;;;;;;1,45
läbi lendama;1;2;2;2;3;3;3;4;4;4;5;5;;;;;;;;;1,27
läbi peksma;1;1;2;2;3;3;4;4;4;5;5;;;;;;;;;;1,45
läbi põletama;1;2;2;2;2;3;3;3;3;5;5;;;;;;;;;;1,25
läbi sadama;2;2;3;3;3;3;3;3;3;4;5;;;;;;;;;;0,83
läbi tuhnima;2;3;4;5;5;5;5;5;5;5;5;;;;;;;;;;1,04
läbi tungima;4;4;4;4;4;4;4;5;5;5;5;;;;;;;;;;0,5
läbi uurima;1;2;3;3;4;4;4;5;5;5;5;5;;;;;;;;;1,34
läbi vaatama;3;3;3;3;4;4;4;4;4;5;;;;;;;;;;;0,67
läbi viima;1;1;1;1;2;2;2;2;2;3;3;4;4;5;;;;;;;1,28
maha jahtuma;1;1;2;2;2;2;3;3;3;3;4;4;;;;;;;;;1
maha kustutama;2;2;2;2;3;3;4;4;5;5;5;5;;;;;;;;;1,31
maha kõmmutama;1;1;2;2;3;3;3;3;4;4;4;4;4;5;5;;;;;;1,26
maha käima;1;1;2;2;2;2;3;3;4;4;4;;;;;;;;;;1,13
maha minema;2;2;3;3;3;4;4;4;5;5;;;;;;;;;;;1,08
maha müüma;1;1;1;2;2;3;3;3;4;5;;;;;;;;;;;1,35
maha põlema;2;2;2;3;4;4;4;5;5;5;;;;;;;;;;;1,26
