PV;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
alla jääma;1;2;2;2;2;3;4;4;4;4;;;;;;;;;;
alla käima;1;1;2;2;2;2;2;4;4;5;5;5;;;;;;;;
alla laadima;1;1;1;3;3;3;4;4;5;5;;;;;;;;;;
alla tingima;3;3;3;4;4;4;5;5;5;5;;;;;;;;;;
edasi jõudma;2;3;3;3;3;3;4;4;4;4;;;;;;;;;;
edasi müüma;2;3;4;4;4;4;4;4;5;5;5;5;5;;;;;;;
eemale tõukama;3;3;5;5;5;5;5;5;5;5;5;5;;;;;;;;
esile tükkima;1;3;3;3;4;4;4;4;4;5;;;;;;;;;;
ette andma;2;3;4;4;4;4;4;4;5;5;;;;;;;;;;
ette hei teatma;1;1;1;1;1;2;3;4;5;5;5;5;;;;;;;;
ette jõudma;4;4;4;4;5;5;5;5;5;5;5;;;;;;;;;
ette kandma;2;2;2;2;3;3;3;3;3;3;4;4;5;5;5;;;;;
ette kavatsema;1;3;3;3;3;3;4;4;4;5;5;5;5;;;;;;;
ette kujutama;1;2;3;3;3;3;4;4;4;4;4;;;;;;;;;
ette käima;2;2;2;3;3;3;4;4;4;5;5;;;;;;;;;
ette küsima;1;1;2;2;3;4;4;4;4;4;5;5;;;;;;;;
ette lugema;1;3;3;3;3;3;4;4;4;4;4;5;5;5;;;;;;
ette maksma;3;4;4;4;4;4;4;4;5;5;5;5;5;;;;;;;
ette nägema;1;1;3;3;4;4;4;4;5;5;5;;;;;;;;;
ette sattuma;2;3;3;4;4;5;5;5;5;5;;;;;;;;;;
ette vaatama;1;1;2;2;3;3;3;4;4;4;;;;;;;;;;
ette valmistama;2;2;4;4;4;4;4;5;5;5;;;;;;;;;;
ette valmistuma;2;2;2;4;4;4;4;4;4;4;5;5;;;;;;;;
ette võtma;1;1;1;2;3;3;3;3;5;5;5;;;;;;;;;
juurde tulema;2;3;3;4;4;4;5;5;5;5;5;5;5;5;;;;;;
juurde tõmbama;1;2;2;2;3;3;3;4;4;4;4;5;5;5;5;;;;;
järele kihutama;4;4;4;4;4;5;5;5;5;5;5;;;;;;;;;
järele vahtima;3;3;4;4;5;5;5;5;5;5;5;;;;;;;;;
kaasa sündima;1;2;2;4;4;4;4;5;5;5;;;;;;;;;;
kaasa tooma;1;2;4;4;4;4;4;4;5;5;5;5;5;5;;;;;;
kaasa tõmbama;1;2;2;2;2;2;3;3;3;3;3;4;4;4;4;4;4;4;5;5
kinni käima;2;2;2;2;3;3;4;4;5;5;5;5;5;5;5;;;;;
kinni maksma;1;1;1;1;2;2;2;2;3;3;3;3;4;4;;;;;;
kinni minema;1;2;2;2;3;3;3;3;4;4;4;;;;;;;;;
kinni pidama;3;3;3;4;4;4;4;5;5;5;5;5;;;;;;;;
kinni traageldama;1;4;4;5;5;5;5;5;5;5;5;5;;;;;;;;
kokku kiskuma;2;3;4;4;5;5;5;5;5;5;;;;;;;;;;
kokku koguma;2;3;3;4;4;5;5;5;5;5;;;;;;;;;;
kokku kuhjama;4;4;4;4;4;4;5;5;5;5;;;;;;;;;;
kokku leppima;1;2;2;2;3;3;3;3;4;5;;;;;;;;;;
kokku monteerima;2;2;3;3;5;5;5;5;5;5;5;5;;;;;;;;
kokku sättima;2;3;4;4;5;5;5;5;5;5;;;;;;;;;;
kokku taguma;2;2;3;3;3;4;4;4;5;5;5;5;;;;;;;;
kokku valguma;2;3;3;3;4;4;5;5;5;5;;;;;;;;;;
külge jääma;2;3;4;4;4;4;4;5;5;5;5;;;;;;;;;
lahti pääsema;1;1;3;3;4;4;5;5;5;5;;;;;;;;;;
lahti siduma;1;1;2;3;3;4;4;4;5;5;5;5;;;;;;;;
lahti voltima;3;4;4;4;4;4;5;5;5;5;;;;;;;;;;
ligi pääsema;2;3;3;3;4;5;5;5;5;5;;;;;;;;;;
