PV;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
alla jääma;1;2;2;2;2;3;4;4;4;4;;;;;;;;;;
alla kirjutama;3;3;3;3;4;4;4;4;4;don't know;;;;;;;;;;
alla käima;1;1;2;2;2;2;2;4;4;5;5;5;;;;;;;;
alla laadima;1;1;1;3;3;3;4;4;5;5;;;;;;;;;;
alla tingima;3;3;3;4;4;4;5;5;5;5;;;;;;;;;;
edasi jõudma;2;3;3;3;3;3;4;4;4;4;;;;;;;;;;
edasi müüma;2;3;4;4;4;4;4;4;5;5;5;5;5;;;;;;;
eemale tõukama;3;3;5;5;5;5;5;5;5;5;5;5;;;;;;;;
esile tükkima;1;3;3;3;4;4;4;4;4;5;;;;;;;;;;
ette andma;2;3;4;4;4;4;4;4;5;5;;;;;;;;;;
ette hdon't knowtma;1;1;1;1;1;2;3;4;5;5;5;5;;;;;;;;
ette jõudma;4;4;4;4;5;5;5;5;5;5;5;;;;;;;;;
ette kandma;2;2;2;2;3;3;3;3;3;3;4;4;5;5;5;;;;;
ette kavatsema;1;3;3;3;3;3;4;4;4;5;5;5;5;;;;;;;
ette kujutama;1;2;3;3;3;3;4;4;4;4;4;;;;;;;;;
ette käima;2;2;2;3;3;3;4;4;4;5;5;;;;;;;;;
ette küsima;1;1;2;2;3;4;4;4;4;4;5;5;;;;;;;;
ette lugema;1;3;3;3;3;3;4;4;4;4;4;5;5;5;;;;;;
ette maksma;3;4;4;4;4;4;4;4;5;5;5;5;5;;;;;;;
ette mõtlema;3;3;4;4;4;4;5;5;5;5;don't know;;;;;;;;;
ette nägema;1;1;3;3;4;4;4;4;5;5;5;;;;;;;;;
ette sattuma;2;3;3;4;4;5;5;5;5;5;;;;;;;;;;
ette tegema;2;2;4;4;4;4;4;4;4;5;5;5;5;don't know;don't know;;;;;
ette vaatama;1;1;2;2;3;3;3;4;4;4;;;;;;;;;;
ette valmistama;2;2;4;4;4;4;4;5;5;5;;;;;;;;;;
ette valmistuma;2;2;2;4;4;4;4;4;4;4;5;5;;;;;;;;
ette võtma;1;1;1;2;3;3;3;3;5;5;5;;;;;;;;;
juurde tulema;2;3;3;4;4;4;5;5;5;5;5;5;5;5;;;;;;
juurde tõmbama;1;2;2;2;3;3;3;4;4;4;4;5;5;5;5;;;;;
järele kihutama;4;4;4;4;4;5;5;5;5;5;5;;;;;;;;;
järele kiitma;1;1;2;3;3;3;3;4;4;don't know;;;;;;;;;;
järele kuulama;1;2;3;3;3;3;4;4;4;4;5;don't know;;;;;;;;
järele laskma;2;2;2;3;3;3;4;4;4;4;don't know;don't know;;;;;;;;
järele vaatama;2;2;2;2;2;3;3;4;4;don't know;;;;;;;;;;
järele vahtima;3;3;4;4;5;5;5;5;5;5;5;;;;;;;;;
kaasa sündima;1;2;2;4;4;4;4;5;5;5;;;;;;;;;;
kaasa tooma;1;2;4;4;4;4;4;4;5;5;5;5;5;5;;;;;;
kaasa tõmbama;1;2;2;2;2;2;3;3;3;3;3;4;4;4;4;4;4;4;5;5
kinni käima;2;2;2;2;3;3;4;4;5;5;5;5;5;5;5;;;;;
kinni maksma;1;1;1;1;2;2;2;2;3;3;3;3;4;4;;;;;;
kinni minema;1;2;2;2;3;3;3;3;4;4;4;;;;;;;;;
kinni pidama;3;3;3;4;4;4;4;5;5;5;5;5;;;;;;;;
kinni traageldama;1;4;4;5;5;5;5;5;5;5;5;5;;;;;;;;
kokku ajama;3;3;4;4;4;4;4;4;4;5;5;5;5;don't know;;;;;;
kokku kasvama;3;4;4;5;5;5;5;5;5;5;don't know ;;;;;;;;;
kokku kiskuma;2;3;4;4;5;5;5;5;5;5;;;;;;;;;;
kokku koguma;2;3;3;4;4;5;5;5;5;5;;;;;;;;;;
kokku kuhjama;4;4;4;4;4;4;5;5;5;5;;;;;;;;;;
kokku kõlksuma;1;3;3;3;3;3;3;3;3;4;4;4;4;don't know;;;;;;
kokku leppima;1;2;2;2;3;3;3;3;4;5;;;;;;;;;;
kokku monteerima;2;2;3;3;5;5;5;5;5;5;5;5;;;;;;;;
kokku saama;2;3;3;3;3;4;4;5;5;don't know;;;;;;;;;;
kokku sättima;2;3;4;4;5;5;5;5;5;5;;;;;;;;;;
kokku taguma;2;2;3;3;3;4;4;4;5;5;5;5;;;;;;;;
kokku trehvama;1;3;3;3;3;4;4;don't know;don't know;don't know;;;;;;;;;;
kokku valguma;2;3;3;3;4;4;5;5;5;5;;;;;;;;;;
kõrvale tõrjuma;3;3;3;4;4;4;5;5;5;5;5;5;5;5;don't know;;;;;
külge jääma;2;3;4;4;4;4;4;5;5;5;5;;;;;;;;;
lahti pääsema;1;1;3;3;4;4;5;5;5;5;;;;;;;;;;
lahti siduma;1;1;2;3;3;4;4;4;5;5;5;5;;;;;;;;
lahti voltima;3;4;4;4;4;4;5;5;5;5;;;;;;;;;;
ligi pääsema;2;3;3;3;4;5;5;5;5;5;;;;;;;;;;
läbi kaaluma;1;1;1;2;2;2;4;4;5;5;;;;;;;;;;
läbi kobama;1;3;3;4;4;4;4;4;5;5;5;;;;;;;;;
läbi kompama;1;1;2;2;3;3;3;3;4;4;4;4;5;don't know;;;;;;
läbi kuluma;2;3;3;4;4;4;4;4;5;5;;;;;;;;;;
läbi laskma;1;2;3;4;4;5;5;5;5;5;;;;;;;;;;
läbi lendama;1;2;2;2;3;3;3;4;4;4;5;5;;;;;;;;
läbi peksma;1;1;2;2;3;3;4;4;4;5;5;;;;;;;;;
läbi põletama;1;2;2;2;2;3;3;3;3;5;5;;;;;;;;;
läbi sadama;2;2;3;3;3;3;3;3;3;4;5;;;;;;;;;
läbi tuhnima;2;3;4;5;5;5;5;5;5;5;5;;;;;;;;;
läbi tulema;2;3;3;3;3;4;4;5;5;5;5;5;don't know;;;;;;;
läbi tungima;4;4;4;4;4;4;4;5;5;5;5;;;;;;;;;
läbi uurima;1;2;3;3;4;4;4;5;5;5;5;5;;;;;;;;
läbi vaatama;3;3;3;3;4;4;4;4;4;5;;;;;;;;;;
läbi valgustama;2;3;3;3;3;3;4;4;4;5;5;don't know;;;;;;;;
läbi viima;1;1;1;1;2;2;2;2;2;3;3;4;4;5;;;;;;
maha ajama;1;1;2;2;2;2;3;4;5;don't know;don't know;don't know;;;;;;;;
maha jahtuma;1;1;2;2;2;2;3;3;3;3;4;4;;;;;;;;
maha kustutama;2;2;2;2;3;3;4;4;5;5;5;5;;;;;;;;
maha kõmmutama;1;1;2;2;3;3;3;3;4;4;4;4;4;5;5;;;;;
maha käima;1;1;2;2;2;2;3;3;4;4;4;;;;;;;;;
