id;class;avg;sentence;particle;verb;all;objcase;objanimacy;objabs;subjcase;subjabs;nounsabs;subjanimacy;casegovernment
1;non-literal;5;'enamik tööstus olema alla käima sisseseade olema aegunud';alla;käima;3,44;noobj;0;0;part;5,91;4,61;no;0
2;non-literal;5;'ajakirjandus käima keeleliselt alla mis siis üks lihtsurelik nõudma';alla;käima;3,05;noobj;0;0;nom;3,23;3,05;no;0
3;non-literal;5;'moraal käima alla';alla;käima;3,51;noobj;0;0;nom;1,01;1,01;no;0
4;non-literal;5;'michael jackson stiil olema aasta jooksul alla käima';alla;käima;3,87;noobj;0;0;nom;2,83;4,62;no;0
5;non-literal;5;'magneet trendirubriik olema viimane aeg alla käima';alla;käima;3,49;noobj;0;0;nom;0;3,79;no;0
6;non-literal;5;'endine pääenergeetik ja autogaraaž juhataja olema aasta jooksul nägema kuidas elu kõik reiljan sünnikoht mikitamäe talu alla käima';alla;käima;4,01;noobj;0;0;nom;1,84;5,92;no;0
7;non-literal;5;'kirjutav inimene käima alla';alla;käima;5,03;noobj;0;0;nom;6,18;6,18;yes;0
8;non-literal;5;'siis kaduma ida turg vajadus ka must kast järele kuna lennundus käima alla';alla;käima;3,66;noobj;0;0;nom;3,91;4,46;no;0
9;non-literal;5;'soovija saama alla laadima volkswageni-teemaline ekraanipilt';alla;laadima;4,23;part;no;7,54;nosubj;0;5,49;0;0
10;non-literal;5;'rajakaart saama alla laadima klubi kodulehekülg';alla;laadima;5,13;part;no;7,1;nosubj;0;6,88;0;0
11;non-literal;5;'viirus laadima interenet alla fail mis kuuluma tema juurde';alla;laadima;4,13;part;no;7,38;nom;5,74;6,84;no;0
12;non-literal;5;'pakett saama tellidma cd kuju või alla laadima microsoft veebisait';alla;laadima;5,53;part;no;7,4;nosubj;0;7,22;0;0
13;non-literal;5;'taskuarvuti kasutaja olema enne meelitama alla laadima nn trooja hobune sarnane programm';alla;laadima;4,14;part;no;5,37;nosubj;0;6,35;0;0
14;non-literal;5;'üle maailm olema ligikaudu miljon kasutaja beos internet alla laadima';alla;laadima;4,2;gen;no;4,33;nom;4,3;5,8;yes;0
15;non-literal;5;kasutamine tulema alla laadima 48 mb maht tarkvara';alla;laadima;4,31;nom;no;7,6;nosubj;0;2,73;0;0
16;non-literal;5;'hiljuti soetatud adsl-ühendus olema küllalt kiire et jutukas istuma või uus mäng alla laadima';alla;laadima;3,46;part;no;3,8;nosubj;0;3,92;0;0
17;non-literal;5;'esmaspäev võima kõik soovija veebsait alla laadima veebilehitseja uusim versioon';alla;laadima;3,64;part;no;1,3;nom;3,44;4,47;yes;0
18;non-literal;5;'samuti saama alla laadima kuni 30kilobaidine andmehulki';alla;laadima;2,81;part;no;4,07;nosubj;0;4,07;0;0
19;literal;2;'tingima 1000 dollar alla ja maksma 29000 sula kinni';alla;tingima;4,39;noobj;0;0;nom;1,91;7,05;yes;0
20;literal;2;'kõik hind on kaubeldav alla saama tingima kuni 50%';alla;tingima;3,08;noobj;0;0;nosubj;0;5,89;0;0
